list,1
code,trips
E00113020,1
W00008304,1
E00070849,1
W00008321,1
W00008320,1
W00008323,1
W00008322,1
W00008325,1
W00008324,1
W00008327,1
W00008326,1
W00008101,1
W00008100,1
W00008103,1
W00008102,1
W00008104,1
W00008201,1
W00008200,1
W00008203,1
W00008202,1
W00008205,1
W00008204,1
W00008207,1
W00008206,1
W00008209,1
W00008208,1
W00008211,1
W00008210,1
W00008212,1
W00008169,1
W00008170,1
W00008091,1
W00008090,1
W00008093,1
W00008092,1
W00008096,1
W00008094,1
W00008099,1
W00008097,1
W00009805,1
W00009804,1
W00009808,1
W00009811,1
W00009813,1
W00009812,1
